model,rmse,mae,median,bias,pct_lt_1
Persistence,1.1932111829423666,0.903452728135236,0.6968035792905756,0.06654011004353422,64.8989898989899
Linear,0.8566984945336567,0.6602213462421143,0.5442828130097834,-0.09667870164120382,76.76767676767676
RandomForest,0.9166473570964847,0.6929202954735447,0.5321622909816472,-0.10012475678538861,76.01010101010101
MLP,0.8959190442999937,0.6885852288192378,0.5747325506215204,-0.029211535322966112,78.53535353535354
NBEATSx-Ridge,0.8004701141873584,0.6139849702465572,0.45958114619609447,-0.10175963282829238,79.7979797979798
